# FractureId; NumTraces
0; 7
# TraceId; Tips; Length
425; 1; 8.3468425922822209e-01
173; 1; 8.0899334561787051e-01
273; 1; 7.5043391029709894e-01
354; 1; 6.8526175581343107e-01
423; 1; 6.7099456032597060e-01
224; 1; 6.6877334178572800e-01
240; 1; 3.5698050371977169e-01
426; 1; 3.0002900734229432e-01
404; 1; 2.8605697120784523e-01
295; 1; 2.0183382647542752e-01
322; 1; 1.8790517818365246e-01
386; 1; 1.2907603797750650e-01
55; 1; 1.1323699097574415e-01
# FractureId; NumTraces
33; 10
# TraceId; Tips; Length
405; 0; 4.2640788759964209e-02
423; 1; 6.7099456032597060e-01
82; 1; 6.5083394501698943e-01
429; 1; 4.2210923466165090e-01
430; 1; 3.7215019449520359e-01
428; 1; 3.5979784083604299e-01
431; 1; 3.2783791049650984e-01
241; 1; 3.0293484895823419e-01
274; 1; 2.2091967426285641e-01
225; 1; 7.5059229172484102e-02
# FractureId; NumTraces
34; 11
# TraceId; Tips; Length
25; 0; 9.0393217642189105e-01
100; 0; 8.0011000011290989e-01
416; 0; 7.0531627014905451e-01
380; 0; 4.6734052579369417e-01
433; 1; 5.4821114048019448e-01
373; 1; 3.2337647737518926e-01
56; 1; 3.1062652326103463e-01
434; 1; 1.3128606892244218e-01
126; 1; 1.1369984160350596e-01
432; 1; 9.6523469108399651e-02
195; 1; 2.9980431022665073e-02
# FractureId; NumTraces
35; 19
# TraceId; Tips; Length
436; 0; 7.8206681290619673e-01
57; 0; 6.4832288190895959e-01
438; 0; 5.3001596569345477e-01
323; 0; 4.1444694135893811e-01
387; 0; 1.5364841990270361e-01
435; 0; 6.2393320231845843e-02
26; 1; 8.8368803295815779e-01
374; 1; 8.4738823699890364e-01
439; 1; 6.4303583459504920e-01
440; 1; 5.7705607776268120e-01
152; 1; 5.1061979220506304e-01
83; 1; 4.2156776278981545e-01
174; 1; 3.7856466366688690e-01
101; 1; 3.4256644263550540e-01
196; 1; 2.4469509490708494e-01
127; 1; 2.1755214765727460e-01
437; 1; 1.7931957841530721e-01
340; 1; 1.4783836405562725e-01
406; 1; 8.2193698631917958e-02
# FractureId; NumTraces
36; 23
# TraceId; Tips; Length
424; 0; 3.2332056345445548e-01
443; 0; 1.5962104701772914e-01
242; 1; 1.0326102134305755e+00
445; 1; 1.0147308726105231e+00
441; 1; 7.8949769956041438e-01
355; 1; 6.5495659492842329e-01
175; 1; 6.5463051593251886e-01
407; 1; 6.1348471200489718e-01
58; 1; 5.9895445080443543e-01
128; 1; 5.2803578637605542e-01
153; 1; 4.7522431936079246e-01
388; 1; 4.2360347217407990e-01
324; 1; 3.9889715492935668e-01
428; 1; 3.5979784083604299e-01
444; 1; 3.2029487419500524e-01
442; 1; 3.2007771748560881e-01
197; 1; 2.9531317310365923e-01
84; 1; 2.9325172090586371e-01
341; 1; 2.5745090772180412e-01
366; 1; 2.0922272072655762e-01
27; 1; 1.4498749477242082e-01
257; 1; 1.2802098645861887e-01
296; 1; 1.0847641805485216e-01
# FractureId; NumTraces
37; 17
# TraceId; Tips; Length
448; 0; 8.8874183004339502e-01
447; 0; 5.9762589789035681e-01
408; 0; 3.1484993985536430e-01
59; 0; 2.4769903947436192e-01
243; 1; 8.8545561466730127e-01
425; 1; 8.3468425922822209e-01
441; 1; 7.8949769956041438e-01
356; 1; 6.0582187790190545e-01
